,timestamp,image_path,Lat,Lon,GPS_MSL_Alt,WGS_84_Alt,Press_Alt,Grnd_Spd,True_Airspeed,Mach_Number,Vert_Velocity,True_Hdg,Track,Drift,Pitch,Roll,Ambient_Temp,Total_Temp,Static_Press,Dynamic_Press,Cabin_Pressure,Wind_Speed,Wind_Dir,Solar_Zenith,Sun_Elev_AC,Sun_Az_Grd,Sun_Az_AC,hour_of_day,day_of_year,validation_height,sequence_length,Estimated height,Diff,Speed
180,18-04-2017 17:57:09,60fps_v1/20170418/170418_175706_183328_frames/20170418_175709_frame_180.jpg,34.61099494,-86.58398779,19969.6,19969.8,65045,202.8,201,0.692,-56,-0.47,360,0.8,1.01,-0.16,-63,-42.9,56.3,21.2,309.4,3.7,236.4,23.7,67.3,-173.6,-172.5,17.95,108,13161,181,13239,78,0.042195623
480,18-04-2017 17:57:14,60fps_v1/20170418/170418_175706_183328_frames/20170418_175714_frame_480.jpg,34.62009978,-86.58398461,19968.1,19968.3,65032.5,202.8,201,0.692,-20,-0.43,360,0.8,1.14,-0.12,-63,-42.9,56.3,21.3,308.9,3.5,236.3,23.7,67.4,-173.6,-172.4,17.95,108,13131,241,12707,424,0.039115637
780,18-04-2017 17:57:19,60fps_v1/20170418/170418_175706_183328_frames/20170418_175719_frame_780.jpg,34.62921099,-86.58398033,19967.6,19967.6,65032.5,202.8,201,0.692,-14,-0.45,360,0.8,1.11,-0.21,-62.8,-42.7,56.3,21.2,308.7,3.6,237.2,23.7,67.4,-173.5,-172.5,17.95,108,13161,241,13752,591,0.04569842
1080,18-04-2017 17:57:24,60fps_v1/20170418/170418_175706_183328_frames/20170418_175724_frame_1080.jpg,34.638317,-86.5839784,19967.1,19967.2,65035,202.8,200.2,0.691,-30,-0.46,360,0.8,1.08,-0.24,-63.6,-43.6,56.3,21.2,309.8,4,231.4,23.7,67.4,-173.5,-172.5,17.95,108,13191,241,12841,350,0.039855874
1380,18-04-2017 17:57:29,60fps_v1/20170418/170418_175706_183328_frames/20170418_175729_frame_1380.jpg,34.64742477,-86.58397799,19966.6,19966.6,65027.5,202.8,200.8,0.692,44,-0.43,360,0.8,1.13,-0.24,-63.4,-43.3,56.3,21.2,309.4,3.9,231.8,23.7,67.4,-173.4,-172.5,17.95,108,13161,241,12910,251,0.040249188
1680,18-04-2017 17:57:34,60fps_v1/20170418/170418_175706_183328_frames/20170418_175734_frame_1680.jpg,34.65653749,-86.58397539,19968.4,19967.8,65037.5,202.8,200,0.689,85,-0.55,360,0.9,1.29,-0.26,-63.1,-43.1,56.3,21,309.1,4.5,229.4,23.7,67.6,-173.4,-172.3,17.95,108,13161,241,11888,1273,0.035150158
1980,18-04-2017 17:57:39,60fps_v1/20170418/170418_175706_183328_frames/20170418_175739_frame_1980.jpg,34.66564204,-86.58397346,19969.9,19969.8,65042.5,202.8,200.6,0.691,15,-0.51,360,0.9,1.16,-0.17,-63.1,-43.1,56.3,21.1,308.9,4,235.5,23.7,67.4,-173.3,-172.1,17.95,108,13131,241,11994,1137,0.035609159
2280,18-04-2017 17:57:44,60fps_v1/20170418/170418_175706_183328_frames/20170418_175744_frame_2280.jpg,34.67474487,-86.58397212,19969.8,19970,65042.5,202.8,200.3,0.691,-73,-0.4,360,0.8,0.98,-0.27,-63.5,-43.5,56.3,21.1,309.1,3.9,229.4,23.7,67.2,-173.3,-172.5,17.95,108,13101,241,12390,711,0.037467914
2580,18-04-2017 17:57:49,60fps_v1/20170418/170418_175706_183328_frames/20170418_175749_frame_2580.jpg,34.68385675,-86.58396902,19967.6,19968,65032.5,202.8,200.9,0.693,-50,-0.38,360,0.8,0.98,-0.13,-63.9,-43.8,56.3,21.3,309.1,3.6,232.8,23.7,67.2,-173.2,-172.1,17.95,108,13131,241,13102,29,0.041368258
2880,18-04-2017 17:57:54,60fps_v1/20170418/170418_175706_183328_frames/20170418_175754_frame_2880.jpg,34.69296594,-86.58396969,19967,19967,65032.5,202.9,201,0.692,30,-0.38,0,0.8,1.18,-0.29,-63.1,-43,56.3,21.2,309.3,3.5,234.2,23.8,67.4,-173.2,-172.4,17.95,108,13131,241,12860,271,0.039986122
